order_id,customer_id,product_id,purchase_amount,is_reordered,purchased_on,event_time
O1,C3782,P11461,1.72,FALSE,3/29/2021 3:40,2021-07-02T19:31:11.029Z
O2,C7371,P3516,28.39,TRUE,5/3/2021 8:12,2021-07-02T19:31:11.029Z
O3,C6492,P14804,33.49,FALSE,1/26/2021 22:53,2021-07-02T19:31:11.029Z
O4,C6316,P13498,58.55,FALSE,3/25/2020 9:19,2021-07-02T19:31:11.029Z
O5,C7941,P16783,71.75,FALSE,10/27/2020 6:00,2021-07-02T19:31:11.029Z
O6,C5806,P12940,6.37,FALSE,3/23/2021 20:58,2021-07-02T19:31:11.029Z
O7,C3048,P3139,32.44,TRUE,8/19/2020 7:50,2021-07-02T19:31:11.029Z
O8,C5815,P5101,79.59,FALSE,1/21/2021 16:29,2021-07-02T19:31:11.029Z
O9,C8672,P4821,41.68,FALSE,2/10/2020 6:51,2021-07-02T19:31:11.029Z
O10,C9186,P14464,3.63,FALSE,1/19/2021 18:51,2021-07-02T19:31:11.029Z
O11,C5711,P10039,14.09,TRUE,3/21/2020 10:49,2021-07-02T19:31:11.030Z
O12,C1234,P10881,23.34,FALSE,4/6/2020 9:11,2021-07-02T19:31:11.030Z
O13,C2652,P6110,41.25,FALSE,11/29/2020 17:07,2021-07-02T19:31:11.030Z
O14,C325,P15502,54.91,TRUE,3/9/2020 16:25,2021-07-02T19:31:11.030Z
O15,C295,P14413,33.55,TRUE,3/4/2021 10:39,2021-07-02T19:31:11.030Z
O16,C3511,P12750,6.65,TRUE,2/28/2020 6:28,2021-07-02T19:31:11.030Z
O17,C7457,P11700,12,FALSE,12/14/2020 5:29,2021-07-02T19:31:11.030Z
O18,C7731,P9566,80.02,FALSE,7/24/2020 6:45,2021-07-02T19:31:11.030Z
O19,C5411,P5839,92.2,TRUE,9/2/2020 18:06,2021-07-02T19:31:11.030Z
O20,C9160,P15507,48.42,TRUE,1/1/2020 16:13,2021-07-02T19:31:11.030Z
O21,C679,P1701,41.56,TRUE,7/26/2020 21:04,2021-07-02T19:31:11.030Z
O22,C9843,P6181,54.94,TRUE,4/11/2020 14:34,2021-07-02T19:31:11.030Z
O23,C3779,P1839,67.77,TRUE,2/3/2020 9:35,2021-07-02T19:31:11.030Z
O24,C6561,P13774,55.25,TRUE,4/4/2021 12:04,2021-07-02T19:31:11.030Z
O25,C3688,P12634,49.42,TRUE,4/11/2020 20:08,2021-07-02T19:31:11.030Z
O26,C1802,P4699,30.93,FALSE,5/20/2021 2:52,2021-07-02T19:31:11.030Z
O27,C6948,P11220,24.06,TRUE,5/28/2020 12:56,2021-07-02T19:31:11.030Z
O28,C2069,P9198,19.06,TRUE,11/13/2020 18:20,2021-07-02T19:31:11.030Z
O29,C7509,P11556,2.9,TRUE,1/14/2021 9:48,2021-07-02T19:31:11.031Z
O30,C4649,P11693,5.56,TRUE,1/2/2021 13:10,2021-07-02T19:31:11.031Z
O31,C5638,P5734,74.63,TRUE,5/26/2021 2:01,2021-07-02T19:31:11.031Z
O32,C1858,P16667,69.03,TRUE,2/15/2021 8:05,2021-07-02T19:31:11.031Z
O33,C6082,P12289,12.36,TRUE,11/26/2020 2:20,2021-07-02T19:31:11.031Z
O34,C1202,P15868,56.79,FALSE,4/15/2020 2:18,2021-07-02T19:31:11.031Z
O35,C3846,P8103,68.89,TRUE,2/10/2020 17:07,2021-07-02T19:31:11.031Z
O36,C6738,P10704,82.52,TRUE,5/9/2021 10:47,2021-07-02T19:31:11.031Z
O37,C3475,P10213,86.63,FALSE,9/26/2020 4:37,2021-07-02T19:31:11.031Z
O38,C3873,P7125,29.47,TRUE,1/12/2021 11:55,2021-07-02T19:31:11.031Z
O39,C8281,P8109,83.76,TRUE,1/22/2021 9:32,2021-07-02T19:31:11.031Z
O40,C5666,P16059,73.81,TRUE,10/29/2020 2:24,2021-07-02T19:31:11.031Z
O41,C8205,P251,23.5,TRUE,2/15/2020 23:49,2021-07-02T19:31:11.031Z
O42,C9093,P4565,40.54,FALSE,3/30/2021 7:07,2021-07-02T19:31:11.031Z
O43,C9949,P4215,61.95,FALSE,6/5/2020 0:02,2021-07-02T19:31:11.031Z
O44,C3960,P16398,85.86,TRUE,6/16/2020 2:39,2021-07-02T19:31:11.031Z
O45,C7979,P10916,23.34,TRUE,3/7/2021 5:35,2021-07-02T19:31:11.031Z
O46,C7189,P9166,100.15,TRUE,8/31/2020 23:22,2021-07-02T19:31:11.031Z
O47,C4690,P1889,36.67,FALSE,8/6/2020 22:50,2021-07-02T19:31:11.032Z
O48,C216,P4396,68.71,FALSE,1/19/2020 7:52,2021-07-02T19:31:11.032Z
O49,C3333,P12416,13.63,FALSE,8/1/2020 6:48,2021-07-02T19:31:11.032Z
O50,C1259,P15667,29.31,TRUE,2/25/2020 12:42,2021-07-02T19:31:11.032Z
O51,C6781,P5351,75.73,TRUE,10/26/2020 7:24,2021-07-02T19:31:11.032Z
O52,C6039,P1242,67.61,FALSE,4/3/2021 10:59,2021-07-02T19:31:11.032Z
O53,C4265,P1168,84.05,FALSE,9/27/2020 1:57,2021-07-02T19:31:11.032Z
O54,C8420,P4311,81.84,TRUE,10/17/2020 2:08,2021-07-02T19:31:11.032Z
O55,C1487,P8655,56.84,FALSE,10/30/2020 0:23,2021-07-02T19:31:11.032Z
O56,C4850,P116,47.52,TRUE,9/5/2020 8:16,2021-07-02T19:31:11.032Z
O57,C5636,P11793,79.08,FALSE,1/4/2021 2:12,2021-07-02T19:31:11.032Z
O58,C7623,P793,99.1,TRUE,7/17/2020 6:55,2021-07-02T19:31:11.033Z
O59,C9859,P215,88.33,TRUE,4/14/2020 8:25,2021-07-02T19:31:11.033Z
O60,C4828,P936,24.82,TRUE,1/29/2020 14:02,2021-07-02T19:31:11.033Z
O61,C5809,P6472,11.16,FALSE,5/2/2020 5:43,2021-07-02T19:31:11.033Z
O62,C7242,P14177,38,FALSE,2/11/2021 0:40,2021-07-02T19:31:11.033Z
O63,C6534,P12348,51.49,TRUE,3/28/2021 22:37,2021-07-02T19:31:11.033Z
O64,C1533,P10716,47.77,FALSE,7/26/2020 19:59,2021-07-02T19:31:11.033Z
O65,C129,P7513,54.11,FALSE,12/18/2020 5:05,2021-07-02T19:31:11.033Z
O66,C729,P13934,62.93,TRUE,9/25/2020 15:24,2021-07-02T19:31:11.033Z
O67,C6847,P8282,6.55,FALSE,1/29/2021 15:06,2021-07-02T19:31:11.033Z
O68,C5503,P1505,10.51,FALSE,3/2/2020 0:15,2021-07-02T19:31:11.033Z
O69,C6034,P6397,48.07,FALSE,2/26/2021 23:52,2021-07-02T19:31:11.033Z
O70,C868,P12033,64.74,FALSE,4/18/2020 4:33,2021-07-02T19:31:11.033Z
O71,C6408,P776,48.26,TRUE,11/10/2020 10:36,2021-07-02T19:31:11.033Z
O72,C3227,P14998,33.78,TRUE,5/30/2020 4:06,2021-07-02T19:31:11.034Z
O73,C5683,P1066,59.46,FALSE,3/6/2021 2:15,2021-07-02T19:31:11.034Z
O74,C7178,P10830,91.24,TRUE,4/8/2020 7:51,2021-07-02T19:31:11.034Z
O75,C936,P13328,27.39,TRUE,8/15/2020 15:37,2021-07-02T19:31:11.034Z
O76,C9589,P730,47.63,TRUE,6/5/2020 14:55,2021-07-02T19:31:11.034Z
