order_id,customer_id,product_id,purchase_amount,is_reordered,purchased_on,event_time
O17,C7754,P12256,54.49,1,2020-04-27 17:41:21,2021-07-06T15:40:51.669Z
O20,C6972,P8056,2.63,0,2020-04-06 09:11:26,2021-07-06T15:40:51.669Z
O39,C216,P4396,68.71,1,2020-04-11 14:34:32,2021-07-06T15:40:51.670Z
O40,C6208,P3111,81.23,1,2020-04-08 21:25:03,2021-07-06T15:40:51.670Z
O45,C58,P12021,67.16,0,2020-04-11 20:08:52,2021-07-06T15:40:51.671Z
O62,C4001,P6670,8.41,1,2020-04-15 02:18:07,2021-07-06T15:40:51.672Z
O71,C3378,P5329,100.19,1,2020-04-11 05:59:18,2021-07-06T15:40:51.673Z
O94,C1979,P15506,61.36,0,2020-04-15 14:49:16,2021-07-06T15:40:51.674Z
O107,C8972,P12526,5.6,0,2020-04-03 20:28:00,2021-07-06T15:40:51.675Z
O110,C5385,P4575,29.15,1,2020-04-14 08:25:32,2021-07-06T15:40:51.675Z
O129,C2960,P10964,42.12,0,2020-04-18 04:33:13,2021-07-06T15:40:51.677Z
O137,C3857,P11646,93.2,1,2020-04-08 07:51:53,2021-07-06T15:40:51.677Z
O149,C7869,P3079,23.92,1,2020-04-23 16:55:48,2021-07-06T15:40:51.678Z
O170,C5201,P11140,2.28,1,2020-04-07 07:22:32,2021-07-06T15:40:51.679Z
O190,C3561,P10321,63.16,0,2020-04-01 11:56:26,2021-07-06T15:40:51.680Z
O194,C2869,P4046,68.3,1,2020-04-24 19:34:25,2021-07-06T15:40:51.681Z
O211,C2000,P15606,60.4,0,2020-04-02 09:48:02,2021-07-06T15:40:51.682Z
O213,C2427,P10121,81.76,1,2020-04-04 03:43:31,2021-07-06T15:40:51.682Z
O226,C4674,P16303,63.12,1,2020-04-20 17:02:54,2021-07-06T15:40:51.683Z
O228,C5958,P6804,7.68,1,2020-04-18 10:49:28,2021-07-06T15:40:51.683Z
O239,C6876,P781,17.18,1,2020-04-21 10:28:31,2021-07-06T15:40:51.683Z
O293,C8744,P12300,96.23,1,2020-04-24 06:47:11,2021-07-06T15:40:51.687Z
O329,C1428,P4912,37.24,1,2020-04-19 19:28:35,2021-07-06T15:40:51.690Z
O333,C4542,P11315,101.01,1,2020-04-29 04:48:11,2021-07-06T15:40:51.690Z
O354,C4586,P10280,68.39,1,2020-04-15 07:48:04,2021-07-06T15:40:51.691Z
O359,C3376,P7938,21.24,0,2020-04-03 10:54:04,2021-07-06T15:40:51.692Z
